   0.00           0.95           0.85           0.75           0.65           0.55           0.45           0.35           0.25           0.15           0.05          -0.05          -0.15          -0.25          -0.35          -0.45          -0.55          -0.65          -0.75          -0.85          -0.95
2.2387E+00     5.8773E-04     6.3356E-04     6.8691E-04     7.5342E-04     8.2381E-04     9.0419E-04     9.9337E-04     1.0864E-03     1.1684E-03     1.3003E-03     1.2842E-03     1.1356E-03     1.0642E-03     9.6446E-04     8.9334E-04     8.3204E-04     7.7324E-04     7.1329E-04     6.5376E-04     6.0541E-04
2.5119E+00     4.1798E-04     4.5546E-04     4.9476E-04     5.4373E-04     5.9957E-04     6.6042E-04     7.3303E-04     8.0917E-04     8.8000E-04     9.5932E-04     9.4376E-04     8.5939E-04     7.9105E-04     7.1445E-04     6.4930E-04     6.0281E-04     5.5312E-04     5.0832E-04     4.6403E-04     4.3118E-04
2.8184E+00     2.9583E-04     3.2441E-04     3.5327E-04     3.9098E-04     4.3293E-04     4.8063E-04     5.3764E-04     5.9605E-04     6.5533E-04     7.1228E-04     7.0337E-04     6.4759E-04     5.8509E-04     5.2469E-04     4.7172E-04     4.3468E-04     3.9345E-04     3.5954E-04     3.2746E-04     3.0299E-04
3.1623E+00     2.0840E-04     2.2736E-04     2.4989E-04     2.7612E-04     3.0822E-04     3.4676E-04     3.8916E-04     4.3632E-04     4.8864E-04     5.3914E-04     5.3588E-04     4.8149E-04     4.2908E-04     3.8037E-04     3.3957E-04     3.0900E-04     2.7902E-04     2.5355E-04     2.2992E-04     2.1113E-04
3.5481E+00     1.4503E-04     1.5902E-04     1.7548E-04     1.9527E-04     2.1856E-04     2.4681E-04     2.8084E-04     3.1853E-04     3.6060E-04     3.9783E-04     3.9466E-04     3.5501E-04     3.1316E-04     2.7368E-04     2.4307E-04     2.1828E-04     1.9607E-04     1.7713E-04     1.6038E-04     1.4661E-04
3.9811E+00     1.0030E-04     1.1037E-04     1.2243E-04     1.3666E-04     1.5406E-04     1.7485E-04     2.0129E-04     2.3213E-04     2.6473E-04     2.9359E-04     2.8932E-04     2.6105E-04     2.2783E-04     1.9665E-04     1.7252E-04     1.5344E-04     1.3702E-04     1.2308E-04     1.1137E-04     1.0109E-04
4.4668E+00     6.9015E-05     7.6244E-05     8.4751E-05     9.4763E-05     1.0787E-04     1.2312E-04     1.4266E-04     1.6685E-04     1.9359E-04     2.1467E-04     2.1344E-04     1.9082E-04     1.6519E-04     1.4003E-04     1.2144E-04     1.0761E-04     9.5341E-05     8.5010E-05     7.6779E-05     6.9494E-05
5.0119E+00     4.7272E-05     5.2518E-05     5.8191E-05     6.5637E-05     7.4989E-05     8.6310E-05     1.0038E-04     1.1926E-04     1.4088E-04     1.5794E-04     1.5714E-04     1.3865E-04     1.1795E-04     9.8944E-05     8.5311E-05     7.4684E-05     6.5941E-05     5.8448E-05     5.2507E-05     4.7408E-05
5.6234E+00     3.2117E-05     3.5747E-05     3.9758E-05     4.5239E-05     5.1830E-05     6.0354E-05     7.0636E-05     8.4669E-05     1.0164E-04     1.1545E-04     1.1503E-04     1.0031E-04     8.3921E-05     6.9653E-05     5.9511E-05     5.1757E-05     4.5488E-05     4.0037E-05     3.5767E-05     3.2164E-05
6.3096E+00     2.1807E-05     2.4213E-05     2.7191E-05     3.0977E-05     3.5675E-05     4.1583E-05     4.9518E-05     6.0061E-05     7.2340E-05     8.2888E-05     8.3064E-05     7.2482E-05     5.9292E-05     4.8920E-05     4.1208E-05     3.5647E-05     3.1066E-05     2.7297E-05     2.4241E-05     2.1796E-05
7.0795E+00     1.4772E-05     1.6364E-05     1.8542E-05     2.1113E-05     2.4340E-05     2.8501E-05     3.4454E-05     4.2499E-05     5.1792E-05     5.9910E-05     6.0336E-05     5.1858E-05     4.1450E-05     3.3988E-05     2.8510E-05     2.4405E-05     2.1098E-05     1.8560E-05     1.6410E-05     1.4777E-05
7.9433E+00     9.9138E-06     1.1025E-05     1.2553E-05     1.4244E-05     1.6642E-05     1.9668E-05     2.3784E-05     2.9420E-05     3.6923E-05     4.3326E-05     4.3406E-05     3.6759E-05     2.9016E-05     2.3364E-05     1.9580E-05     1.6552E-05     1.4376E-05     1.2555E-05     1.1084E-05     9.8869E-06
8.9125E+00     6.6424E-06     7.4434E-06     8.4318E-06     9.6302E-06     1.1242E-05     1.3445E-05     1.6348E-05     2.0087E-05     2.6017E-05     3.0883E-05     3.1098E-05     2.5745E-05     2.0228E-05     1.6047E-05     1.3296E-05     1.1222E-05     9.6918E-06     8.4335E-06     7.4001E-06     6.5787E-06
1.0000E+01     4.4251E-06     4.9717E-06     5.6267E-06     6.4818E-06     7.5880E-06     9.0572E-06     1.1112E-05     1.4057E-05     1.8175E-05     2.2327E-05     2.2333E-05     1.8131E-05     1.3985E-05     1.1053E-05     9.0483E-06     7.5802E-06     6.4728E-06     5.6293E-06     4.9616E-06     4.4216E-06
1.1220E+01     2.9542E-06     3.3159E-06     3.7676E-06     4.3477E-06     5.1094E-06     6.1234E-06     7.5658E-06     9.6592E-06     1.2709E-05     1.5887E-05     1.5893E-05     1.2671E-05     9.6316E-06     7.5386E-06     6.1220E-06     5.1059E-06     4.3498E-06     3.7692E-06     3.3145E-06     2.9534E-06
1.2589E+01     1.9655E-06     2.2100E-06     2.5129E-06     2.9113E-06     3.4255E-06     4.1314E-06     5.1277E-06     6.6271E-06     8.8505E-06     1.1330E-05     1.1330E-05     8.8476E-06     6.6025E-06     5.1151E-06     4.1284E-06     3.4260E-06     2.9102E-06     2.5125E-06     2.2080E-06     1.9682E-06
1.4125E+01     1.3041E-06     1.4690E-06     1.6755E-06     1.9425E-06     2.2927E-06     2.7764E-06     3.4713E-06     4.5299E-06     6.1231E-06     8.0150E-06     8.0183E-06     6.1306E-06     4.5034E-06     3.4601E-06     2.7806E-06     2.2971E-06     1.9366E-06     1.6765E-06     1.4703E-06     1.3065E-06
1.5849E+01     8.6733E-07     9.7675E-07     1.1189E-06     1.2937E-06     1.5305E-06     1.8575E-06     2.3408E-06     3.0749E-06     4.2147E-06     5.6569E-06     5.6728E-06     4.2266E-06     3.0727E-06     2.3340E-06     1.8643E-06     1.5314E-06     1.2917E-06     1.1175E-06     9.7588E-07     8.6622E-07
1.7783E+01     5.7715E-07     6.4848E-07     7.4218E-07     8.5960E-07     1.0185E-06     1.2464E-06     1.5778E-06     2.0882E-06     2.9001E-06     3.9884E-06     3.9877E-06     2.9049E-06     2.0812E-06     1.5699E-06     1.2442E-06     1.0164E-06     8.6180E-07     7.4235E-07     6.4816E-07     5.7712E-07
1.9953E+01     3.8414E-07     4.3033E-07     4.9114E-07     5.7315E-07     6.8013E-07     8.3572E-07     1.0600E-06     1.4123E-06     1.9932E-06     2.7768E-06     2.7830E-06     1.9976E-06     1.4009E-06     1.0551E-06     8.3171E-07     6.7447E-07     5.7256E-07     4.9203E-07     4.3083E-07     3.8438E-07
2.2387E+01     2.5656E-07     2.8735E-07     3.2705E-07     3.8247E-07     4.5305E-07     5.5538E-07     7.0567E-07     9.5063E-07     1.3621E-06     1.9391E-06     1.9516E-06     1.3623E-06     9.4704E-07     7.0772E-07     5.5522E-07     4.4961E-07     3.8101E-07     3.2714E-07     2.8686E-07     2.5494E-07
2.5119E+01     1.7067E-07     1.9082E-07     2.1822E-07     2.5356E-07     2.9999E-07     3.6853E-07     4.7214E-07     6.4125E-07     9.3176E-07     1.3492E-06     1.3575E-06     9.2320E-07     6.3801E-07     4.7364E-07     3.6839E-07     2.9970E-07     2.5274E-07     2.1783E-07     1.9068E-07     1.6955E-07
2.8184E+01     1.1312E-07     1.2720E-07     1.4475E-07     1.6811E-07     1.9897E-07     2.4647E-07     3.1678E-07     4.3083E-07     6.3370E-07     9.3615E-07     9.3975E-07     6.2746E-07     4.2959E-07     3.1547E-07     2.4634E-07     1.9917E-07     1.6803E-07     1.4479E-07     1.2689E-07     1.1293E-07
3.1623E+01     7.6766E-08     8.6002E-08     9.7486E-08     1.1323E-07     1.3496E-07     1.6598E-07     2.1408E-07     2.9284E-07     4.3454E-07     6.5219E-07     6.5029E-07     4.3464E-07     2.9270E-07     2.1345E-07     1.6588E-07     1.3465E-07     1.1341E-07     9.7474E-08     8.5866E-08     7.6656E-08
3.5481E+01     5.1331E-08     5.7201E-08     6.5020E-08     7.5193E-08     8.9736E-08     1.1042E-07     1.4233E-07     1.9624E-07     2.9447E-07     4.4809E-07     4.4764E-07     2.9373E-07     1.9507E-07     1.4220E-07     1.1029E-07     8.9481E-08     7.5248E-08     6.4910E-08     5.7445E-08     5.1047E-08
3.9811E+01     3.4299E-08     3.8153E-08     4.3240E-08     5.0079E-08     5.9610E-08     7.3368E-08     9.4483E-08     1.3103E-07     1.9848E-07     3.0805E-07     3.0841E-07     1.9742E-07     1.3025E-07     9.4854E-08     7.3216E-08     5.9707E-08     5.0074E-08     4.3208E-08     3.8228E-08     3.4169E-08
4.4668E+01     2.2878E-08     2.5456E-08     2.8779E-08     3.3273E-08     3.9584E-08     4.8590E-08     6.2719E-08     8.6805E-08     1.3331E-07     2.1126E-07     2.1146E-07     1.3309E-07     8.6998E-08     6.2890E-08     4.8800E-08     3.9764E-08     3.3449E-08     2.8825E-08     2.5505E-08     2.2991E-08
5.0119E+01     1.4974E-08     1.6655E-08     1.8733E-08     2.1738E-08     2.5654E-08     3.1570E-08     4.1062E-08     5.7000E-08     8.7869E-08     1.4474E-07     1.4474E-07     8.7869E-08     5.7000E-08     4.1062E-08     3.1570E-08     2.5654E-08     2.1738E-08     1.8733E-08     1.6655E-08     1.4974E-08
5.6234E+01     1.0092E-08     1.1132E-08     1.2482E-08     1.4467E-08     1.7064E-08     2.0981E-08     2.7187E-08     3.7932E-08     5.8822E-08     9.8451E-08     9.8451E-08     5.8822E-08     3.7932E-08     2.7187E-08     2.0981E-08     1.7064E-08     1.4467E-08     1.2482E-08     1.1132E-08     1.0092E-08
